symbol	alias_symbol	prev_symbol	name
CISD3	"Miner2|MiNT"		CDGSH iron sulfur domain 3
CISH	"CIS|G18|CIS-1|SOCS"		cytokine inducible SH2 containing protein
CIST1			colon, intestine and stomach enriched 1
CISTR	"CISTR-ACT|CISTRACT|re52431"		chondrogenesis-associated transcript
CIT	"KIAA0949|STK21|CRIK|CITK"		citron rho-interacting serine/threonine kinase
CITED1		MSG1	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1
CITED2	MRG1		Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
CITED4			Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4
CIZ1	"LSFR1|ZNF356"		CDKN1A interacting zinc finger protein 1
CKAP2	"LB1|FLJ10749|se20-10|TMAP"		cytoskeleton associated protein 2
CKAP2-DT			CKAP2 divergent transcript
CKAP2L	"FLJ40629|radmis"		cytoskeleton associated protein 2 like
CKAP2LP1			CKAP2L pseudogene 1
CKAP2P1			cytoskeleton associated protein 2 pseudogene 1
CKAP4	"P63|CLIMP-63|CLIMP63|ERGIC-63"		cytoskeleton associated protein 4
CKAP5	"ch-TOG|KIAA0097|TOG|TOGp"		cytoskeleton associated protein 5
CKB	"B-CK|BCKB|CPK-B|HEL-211|HEL-S-29|creatine kinase B|creatine kinase|Bck|Ck-3|Ck3b"	CKBB	creatine kinase B
CKBP1			creatine kinase B pseudogene 1
cKIT	"CD117|SCFR|C-Kit|MASTC|KIT|PBT"		tyrosine-protein kinase
CKLF	"UCK-1|CKLF3|CKLF4|HSPC224|C32"	CKLF1	chemokine like factor
CKLF-CMTM1			CKLF-CMTM1 readthrough
CKM		CKMM	creatine kinase, M-type
CKMB	"creatine kinase MB|creatine kinase-MB|creatine kinase"		creatine kinase MB
CKMT1A		CKMT1	creatine kinase, mitochondrial 1A
CKMT1B	UMTCK	"CKMT|CKMT1"	creatine kinase, mitochondrial 1B
CKMT2	SMTCK		creatine kinase, mitochondrial 2
CKMT2-AS1			CKMT2 antisense RNA 1
CKS1B	"ckshs1|CKS1"		CDC28 protein kinase regulatory subunit 1B
CKS1BP1		CKS1BP	CDC28 protein kinase regulatory subunit 1B pseudogene 1
CKS1BP2	bA192N10.2		CDC28 protein kinase regulatory subunit 1B pseudogene 2
CKS1BP3			CDC28 protein kinase regulatory subunit 1B pseudogene 3
CKS1BP4			CDC28 protein kinase regulatory subunit 1B pseudogene 4
